tmux-plugin-manager 3.1.0-1
tmuxp 1.67.0-1
tree-sitter-cli 0.26.8-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-2
ttf-opensans 3.003-1
ufw 0.36.2-7
unrar 1:7.2.5-1.1
unzip 6.0-23.1
upower 1.91.2-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
uv 0.11.7-1.1
uwsm 0.26.4-1
vesktop-bin 1.6.5-1
vicinae-bin 0.20.13-1
vim 9.2.0388-1.1
vivaldi 7.9.3970.55-1.1
vivify-bin 0.14.0-1
vlc-plugins-all 3.0.22-3.1
vulkan-radeon 2:26.0.5-4
walker-bin 2.16.0-1
waybar 0.15.0-2.1
wev 1.1.0-1.1
wf-recorder-git r236.c5de474-1
wget 1.25.0-3.1
which 2.23-1.1
wine 11.7-1.1
wiremix 0.10.0-1.1
wireplumber 0.5.14-1.1
wl-clipboard 1:2.3.0-1.1
wofi 1.5.3-1.1
wpa_supplicant 2:2.11-5.1
wtype 0.4-2.2
xdg-desktop-portal-hyprland 1.3.11-4.1
xdg-desktop-portal-termfilechooser-hunkyburrito-git v1.4.0.r3.g0e2ad98-1
xdg-user-dirs 0.20-1.1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1.1
xfsprogs 6.19.0-1.1
xl2tpd 1.3.20-1.1
xorg-xwayland 24.1.10-1.1
yazi 26.1.22-4
zed 0.233.5-2.1
zellij 0.44.1-1.1
zen-browser-bin 1.19.8b-1
zoxide 0.9.9-2.1
